Erich Grädel,2
Val Tannen,2
M. R. Siebert,2
R. J. Foley,2
D. O. Jones,2
Jens Dittrich,4
Joris Nix,2
G. Kordopatis,2
Yi-Peng Wei,2
Michael J. Mior,2
Xu Kong,2
Chang Liu,2
Lin Gao,3
Xinyu Wang,2
Rishabh Singh,2
Yihan Gao,2
Silu Huang,2
João M. Carvalho,2
Susana Brás,2
Armando J. Pinho,2
Wei Wang,5
Zhiwei Fan,2
Jianqiao Zhu,2
Aws Albarghouthi,2
Tarcisio Mendes de Farias,2
Kurt Stockinger,2
Christophe Dessimoz,2
Ansgar Scherp,2
Andrea Formisano,2
L. Morselli,2
A. Renzini,2
P. Popesso,2
Yisu Remy Wang,2
Dhammika Pieris,2
M. C Wijegunesekera,2
Marco Minghini,2
Chu Kiong Loo,2
Amir Gilad,2
Shweta Patwa,2
Sybil Derrible,2
Wanhua Li,2
Jiwen Lu,2
Jianjiang Feng,2
Jie Zhou,2
Yu Chen,2
Javier Hernandez-Ortega,3
Luís Cruz-Filipe,3
Daniel Cullina,2
Negar Kiyavash,2
Mirek Giersz,5
Abbas Askar,5
Ashwin Machanavajjhala,2
Ihab F. Ilyas,2
Theodoros Rekatsinas,2
Dumitrel Loghin,2
Qian Lin,2
Maciej Besta,2
Marc Fischer,2
Wei Zhang,3
Giacomo Bergami,2
Fubao Wu,2
Lixin Gao,2
Haizhou Li,3
Mauro D'Onofrio,3
Cesare Chiosi,2
Mauro Sciarratta,2
Hyeok Kong,2
Cholyong Jong,2
Unhyok Ryang,2
Navid Yaghmazadeh,2
Hasan M. Jamil,2
Stefanos Zafeiriou,2
Hua Sun,3
Alan C. Bovik,4
Jun Hyung Shin,2
Nhien-An Le-Khac,2
Tao Lu,2
Stefanie Scherzinger,2
Mayank Varia,2
Arkady Yerukhimovich,2
S. Bianchi,2
V. Casasola,2
Abolfazl Asudeh,3
Corneliu Florea,2
Yuan Luo,2
Andreas Behrend,2
Fei Gao,2
Johes Bater,2
Yuan Zong,2
Zhen Cui,2
Yuliang Li,2
Alon Halevy,2
Ig-Jae Kim,2
Eugene Wu,2
Dacheng Tao,2
Arun Kumar,3
Jignesh M. Patel,2
Ben Glocker,2
Nick Koudas,2
Christos G. Bampis,2
Michael Elberfeld,2
Chi Nhan Duong,2
Kha Gia Quach,2
Khoa Luu,3
Kiran Sharma,2
Gautam Shroff,2
Federico M. Sukno,2
Niek Tax,2
Katrina Ligett,2
Kamalika Chaudhuri,2
Somesh Jha,2
Marios Savvides,2
Olesya Mryglod,2
Chunbin Lin,2
Yannis Papakonstantinou,2
Nicola Leone,2
Angela Bonifati,2
Mourad Ouzzani,2
Zongheng Yang,2
Pieter Abbeel,2
Diogo Belloni,3
Behram Wali,3
Asad J. Khattak,2
Zhen Li,2
Deqing Zou,2
Shouhuai Xu,2
Hai Jin,2
Jie Xu,2
Lixing Chen,2
Zoran Obradovic,2
Jinhui Tang,2
Balint Varga,2
Wensheng Gan,2
Jerry Chun-Wei Lin,2
Han-Chieh Chao,2
Philip S. Yu,2
Alex Gittens,2
Xiaowang Zhang,2
Zhiyong Feng,2
Zixing Zhang,3
Björn Schuller,3
Daniel C. Mayer,2
Javier Ortega-Garcia,2
Lei Zhang,2
Xiaolan Wang,2
Javier Galbally,2
Hervé Delingette,2
Nicholas Ayache,2
Pablo Dorta-González,2
Tristan Naumann,2
Jing Han,2
Carmine Dodaro,2
Francesco Ricca,2
Jakub Klencki,2
Lorenzo Matteini,2
Guanfeng Liu,2
K. D. Humbird,2
J. L. Peterson,2
Fernando Alonso-Fernandez,2
Juliana Freire,2
Yu Rong,2
Hong Cheng,2
Kangfei Zhao,2
Junzhou Huang,2
Qing Wang,2
Peter Kokol,2
Nan Liu,2
Dominique Laurent,2
Nicolas Spyratos,2
Nasser Ghadiri,2
Zhen Hua Liu,2
Chin-Chia Michael Yeh,2
Zhongfang Zhuang,2
Yan Zheng,2
Liang Wang,2
Felix Mannhardt,2
Hamed Vahdat-Nejad,2
Fatemeh Salmani,2
Hamideh Hajiabadi,2
Francesca Tavazza,2
Nouria Harbi,2
Deepak Kumar,2
Ravi Tandon,2
Ryan Wisnesky,2
Ahmad Tasnim Siddiqui,2
Weihong Deng,2
Yi Lu,2
Wil van der Aalst,2
Luc Segoufin,2
Arnab Bhattacharya,2
Jef Wijsen,2
Ce Zhang,2
R. P. Saglia,2
Maria Rosa L. Cioni,2
Fabio Ragosta,2
Richard de Grijs,2
Martin A. T. Groenewegen,2
Valentin D. Ivanov,2
Yogesh Simmhan,2
M. B. Areal,2
S. Paron,2
Dibyendu Nandy,2
Syed A. Jafar,2
Agata Lapedriza,2
Jennie Duggan,3
Tim Mattson,4
Lauren Milechin,4
Siddharth Samsi,4
Silviu Maniu,2
Kyle OBrien,2
Adam Dziedzic,2
Jennie Rogers,2
Zuohao She,2
Hui Wang,2
Barzan Mozafari,3
Yongjoo Park,2
Michael Cafarella,2
Mohamed Grissa,2
Attila A. Yavuz,2
Bechir Hamdaoui,2
Shih-Fu Chang,2
Daniel Fabbri,2
Bradley Malin,2
Shervan Fekri-Ershad,2
Prithaj Banerjee,2
Ayan Kumar Bhunia,2
Avirup Bhattacharyya,2
Partha Pratim Roy,2
Subrahmanyam Murala,2
Jeroen Sijsling,2
John Voight,3
Xiaohai Tian,2
Xi Wu,2
Donald Kossmann,2
Yiwei Zhang,3
Andreas Arzt,2
Gerhard Widmer,2
Alexander Chen,2
Qiwen Wang,3
Mikael Skoglund,3
Jeffrey D. Ullman,2
Dong Wang,2
Difei Tang,2
Qing Chen,2
Thomas Guyet,2
Bernhard Schölkopf,2
Csaba Kiss,2
David P. Woodruff,2
Xin Guo,2
Rada Chirkova,2
Jon Doyle,2
Nathan Leigh,2
Vangipuram Radhakrishna,2
Ugur Cetintemel,2
László Dobos,2
Tamás Budavári,2
Hau-tieng Wu,2
Albert Reuther,2
C. Morisset,2
P. Cassata,2
Isabel Nunes,2
Peter Schneider-Kamp,2
M. Tamer Özsu,2
Md Farhadur Rahman,2
Weimo Liu,2
Saad Bin Suhaim,2
Tias Guns,2
Yingjun Wu,2
Olga Papaemmanouil,3
Xin Wang,2
Gennian Ge,2
